# t(s)   rho_eff(J)   power(W)   rho_I(J)   rho_N(J)
4.065312410e-06  3.667819e+07  -2.391369e+12  3.667819e+07  0.000000e+00
4.096584044e-06  3.620764e+07  -1.954231e+13  3.620764e+07  0.000000e+00
4.127855678e-06  3.545595e+07  -1.165059e+13  3.545595e+07  0.000000e+00
4.159127312e-06  3.547898e+07  1.705543e+13  3.547898e+07  0.000000e+00
4.190398946e-06  3.652266e+07  3.428000e+13  3.652266e+07  0.000000e+00
4.221670580e-06  3.762296e+07  1.850521e+13  3.762296e+07  0.000000e+00
4.252942214e-06  3.768003e+07  -1.434773e+13  3.768003e+07  0.000000e+00
4.284213848e-06  3.672561e+07  -2.885844e+13  3.672561e+07  0.000000e+00
4.315485482e-06  3.587513e+07  -1.088804e+13  3.587513e+07  0.000000e+00
4.346757116e-06  3.604463e+07  1.732519e+13  3.604463e+07  0.000000e+00
4.378028749e-06  3.695871e+07  2.427854e+13  3.695871e+07  0.000000e+00
4.409300383e-06  3.756309e+07  4.868217e+12  3.756309e+07  0.000000e+00
4.440572017e-06  3.726318e+07  -1.686109e+13  3.726318e+07  0.000000e+00
4.471843651e-06  3.650854e+07  -1.803009e+13  3.650854e+07  0.000000e+00
4.503115285e-06  3.613552e+07  -2.159238e+12  3.613552e+07  0.000000e+00
4.534386919e-06  3.637350e+07  9.129861e+12  3.637350e+07  0.000000e+00
4.565658553e-06  3.670653e+07  4.188795e+12  3.670653e+07  0.000000e+00
4.596930187e-06  3.663548e+07  -6.383789e+12  3.663548e+07  0.000000e+00
4.628201821e-06  3.630727e+07  -6.151112e+12  3.630727e+07  0.000000e+00
4.659473455e-06  3.625077e+07  5.166364e+12  3.625077e+07  0.000000e+00
4.690745089e-06  3.663039e+07  1.197089e+13  3.663039e+07  0.000000e+00
4.722016723e-06  3.699947e+07  3.615860e+12  3.699947e+07  0.000000e+00
4.753288357e-06  3.685654e+07  -1.130178e+13  3.685654e+07  0.000000e+00
4.784559990e-06  3.629262e+07  -1.493671e+13  3.629262e+07  0.000000e+00
4.815831624e-06  3.592235e+07  -1.825772e+12  3.592235e+07  0.000000e+00
4.847103258e-06  3.617843e+07  1.411319e+13  3.617843e+07  0.000000e+00
4.878374892e-06  3.680503e+07  1.521869e+13  3.680503e+07  0.000000e+00
4.909646526e-06  3.713025e+07  -2.052673e+11  3.713025e+07  0.000000e+00
4.940918160e-06  3.679219e+07  -1.629380e+13  3.679219e+07  0.000000e+00
4.972189794e-06  3.611119e+07  -1.684041e+13  3.611119e+07  0.000000e+00
5.003461428e-06  3.573894e+07  -1.729338e+12  3.573894e+07  0.000000e+00
5.034733062e-06  3.600303e+07  1.421337e+13  3.600303e+07  0.000000e+00
5.066004696e-06  3.662789e+07  1.680221e+13  3.662789e+07  0.000000e+00
5.097276330e-06  3.705389e+07  5.499599e+12  3.705389e+07  0.000000e+00
5.128547964e-06  3.697185e+07  -7.975468e+12  3.697185e+07  0.000000e+00
5.159819598e-06  3.655508e+07  -1.175889e+13  3.655508e+07  0.000000e+00
5.191091232e-06  3.623641e+07  -4.078877e+12  3.623641e+07  0.000000e+00
5.222362865e-06  3.629997e+07  6.752193e+12  3.629997e+07  0.000000e+00
5.253634499e-06  3.665872e+07  1.069164e+13  3.665872e+07  0.000000e+00
5.284906133e-06  3.696867e+07  4.527258e+12  3.696867e+07  0.000000e+00
5.316177767e-06  3.694187e+07  -6.119726e+12  3.694187e+07  0.000000e+00
5.347449401e-06  3.658592e+07  -1.214891e+13  3.658592e+07  0.000000e+00
5.378721035e-06  3.618203e+07  -8.817792e+12  3.618203e+07  0.000000e+00
5.409992669e-06  3.603442e+07  5.233838e+11  3.603442e+07  0.000000e+00
5.441264303e-06  3.621477e+07  7.865431e+12  3.621477e+07  0.000000e+00
5.472535937e-06  3.652635e+07  7.871352e+12  3.652635e+07  0.000000e+00
5.503807571e-06  3.670707e+07  2.207816e+12  3.670707e+07  0.000000e+00
5.535079205e-06  3.666444e+07  -3.000257e+12  3.666444e+07  0.000000e+00
5.566350839e-06  3.651942e+07  -3.465540e+12  3.651942e+07  0.000000e+00
5.597622473e-06  3.644769e+07  -1.279578e+11  3.644769e+07  0.000000e+00
5.628894106e-06  3.651142e+07  3.166906e+12  3.651142e+07  0.000000e+00
5.660165740e-06  3.664576e+07  3.993758e+12  3.664576e+07  0.000000e+00
5.691437374e-06  3.676120e+07  2.642814e+12  3.676120e+07  0.000000e+00
5.722709008e-06  3.681105e+07  2.463946e+11  3.681105e+07  0.000000e+00
5.753980642e-06  3.677661e+07  -2.368390e+12  3.677661e+07  0.000000e+00
5.785252276e-06  3.666292e+07  -3.570792e+12  3.666292e+07  0.000000e+00
5.816523910e-06  3.655328e+07  -8.527177e+11  3.655328e+07  0.000000e+00
5.847795544e-06  3.660959e+07  5.708704e+12  3.660959e+07  0.000000e+00
5.879067178e-06  3.691032e+07  1.039877e+13  3.691032e+07  0.000000e+00
5.910338812e-06  3.725996e+07  5.632014e+12  3.725996e+07  0.000000e+00
5.941610446e-06  3.726257e+07  -8.737424e+12  3.726257e+07  0.000000e+00
5.972882080e-06  3.671350e+07  -2.141517e+13  3.671350e+07  0.000000e+00
6.004153714e-06  3.592319e+07  -1.904448e+13  3.592319e+07  0.000000e+00
6.035425347e-06  3.552239e+07  -1.433008e+12  3.552239e+07  0.000000e+00
6.066696981e-06  3.583357e+07  1.522013e+13  3.583357e+07  0.000000e+00
6.097968615e-06  3.647431e+07  1.415602e+13  3.647431e+07  0.000000e+00
6.129240249e-06  3.671893e+07  -2.750166e+12  3.671893e+07  0.000000e+00
6.160511883e-06  3.630231e+07  -1.545564e+13  3.630231e+07  0.000000e+00
6.191783517e-06  3.575229e+07  -8.153711e+12  3.575229e+07  0.000000e+00
6.223055151e-06  3.579235e+07  1.118530e+13  3.579235e+07  0.000000e+00
6.254326785e-06  3.645185e+07  1.869782e+13  3.645185e+07  0.000000e+00
6.285598419e-06  3.696177e+07  3.238428e+12  3.696177e+07  0.000000e+00
6.316870053e-06  3.665439e+07  -1.778863e+13  3.665439e+07  0.000000e+00
6.348141687e-06  3.584921e+07  -1.676994e+13  3.584921e+07  0.000000e+00
6.379413321e-06  3.560555e+07  1.057642e+13  3.560555e+07  0.000000e+00
6.410684955e-06  3.651069e+07  3.646795e+13  3.651069e+07  0.000000e+00
6.441956589e-06  3.788637e+07  3.055948e+13  3.788637e+07  0.000000e+00
6.473228222e-06  3.842198e+07  -4.531254e+12  3.842198e+07  0.000000e+00
6.504499856e-06  3.760297e+07  -3.379067e+13  3.760297e+07  0.000000e+00
6.535771490e-06  3.630860e+07  -2.796195e+13  3.630860e+07  0.000000e+00
6.567043124e-06  3.585414e+07  3.911664e+12  3.585414e+07  0.000000e+00
6.598314758e-06  3.655325e+07  2.544501e+13  3.655325e+07  0.000000e+00
6.629586392e-06  3.744555e+07  1.457479e+13  3.744555e+07  0.000000e+00
6.660858026e-06  3.746481e+07  -1.289279e+13  3.746481e+07  0.000000e+00
6.692129660e-06  3.663920e+07  -2.448148e+13  3.663920e+07  0.000000e+00
6.723401294e-06  3.593366e+07  -9.951770e+12  3.593366e+07  0.000000e+00
6.754672928e-06  3.601678e+07  9.108812e+12  3.601678e+07  0.000000e+00
6.785944562e-06  3.650335e+07  8.634744e+12  3.650335e+07  0.000000e+00
6.817216196e-06  3.655683e+07  -7.818511e+12  3.655683e+07  0.000000e+00
6.848487830e-06  3.601435e+07  -1.554557e+13  3.601435e+07  0.000000e+00
6.879759463e-06  3.558456e+07  -1.886370e+12  3.558456e+07  0.000000e+00
6.911031097e-06  3.589638e+07  1.703052e+13  3.589638e+07  0.000000e+00
6.942302731e-06  3.664970e+07  1.709933e+13  3.664970e+07  0.000000e+00
6.973574365e-06  3.696582e+07  -2.609298e+12  3.696582e+07  0.000000e+00
7.004845999e-06  3.648651e+07  -1.826702e+13  3.648651e+07  0.000000e+00
7.036117633e-06  3.582334e+07  -1.089321e+13  3.582334e+07  0.000000e+00
7.067389267e-06  3.580521e+07  1.067165e+13  3.580521e+07  0.000000e+00
7.098660901e-06  3.649078e+07  2.166890e+13  3.649078e+07  0.000000e+00
7.129932535e-06  3.716045e+07  1.163607e+13  3.716045e+07  0.000000e+00
7.161204169e-06  3.721854e+07  -5.346174e+12  3.721854e+07  0.000000e+00
7.192475803e-06  3.682609e+07  -1.079790e+13  3.682609e+07  0.000000e+00
7.223747437e-06  3.654321e+07  -3.851428e+12  3.654321e+07  0.000000e+00
7.255019071e-06  3.658520e+07  2.519271e+12  3.658520e+07  0.000000e+00
7.286290704e-06  3.670077e+07  1.937107e+12  3.670077e+07  0.000000e+00
7.317562338e-06  3.670636e+07  1.365571e+12  3.670636e+07  0.000000e+00
7.348833972e-06  3.678618e+07  6.124576e+12  3.678618e+07  0.000000e+00
7.380105606e-06  3.708941e+07  7.961865e+12  3.708941e+07  0.000000e+00
7.411377240e-06  3.728414e+07  -3.300378e+12  3.728414e+07  0.000000e+00
7.442648874e-06  3.688299e+07  -2.017351e+13  3.688299e+07  0.000000e+00
7.473920508e-06  3.602242e+07  -2.136325e+13  3.602242e+07  0.000000e+00
7.505192142e-06  3.554686e+07  3.327055e+11  3.554686e+07  0.000000e+00
7.536463776e-06  3.604323e+07  2.275757e+13  3.604323e+07  0.000000e+00
7.567735410e-06  3.697020e+07  1.757814e+13  3.697020e+07  0.000000e+00
7.599007044e-06  3.714262e+07  -1.282626e+13  3.714262e+07  0.000000e+00
7.630278678e-06  3.616800e+07  -3.325836e+13  3.616800e+07  0.000000e+00
7.661550312e-06  3.506254e+07  -1.660195e+13  3.506254e+07  0.000000e+00
7.692821946e-06  3.512966e+07  2.089946e+13  3.512966e+07  0.000000e+00
7.724093579e-06  3.636966e+07  3.655216e+13  3.636966e+07  0.000000e+00
7.755365213e-06  3.741575e+07  1.278577e+13  3.741575e+07  0.000000e+00
7.786636847e-06  3.716932e+07  -2.040729e+13  3.716932e+07  0.000000e+00
7.817908481e-06  3.613941e+07  -2.209686e+13  3.613941e+07  0.000000e+00
7.849180115e-06  3.578731e+07  8.535318e+12  3.578731e+07  0.000000e+00
7.880451749e-06  3.667324e+07  3.140405e+13  3.667324e+07  0.000000e+00
7.911723383e-06  3.775142e+07  1.675476e+13  3.775142e+07  0.000000e+00
7.942995017e-06  3.772114e+07  -1.679026e+13  3.772114e+07  0.000000e+00
7.974266651e-06  3.670130e+07  -2.658025e+13  3.670130e+07  0.000000e+00
8.005538285e-06  3.605872e+07  -1.559979e+12  3.605872e+07  0.000000e+00
8.036809919e-06  3.660374e+07  2.322775e+13  3.660374e+07  0.000000e+00
8.068081553e-06  3.751146e+07  1.292169e+13  3.751146e+07  0.000000e+00
8.099353187e-06  3.741190e+07  -2.017111e+13  3.741190e+07  0.000000e+00
8.130624820e-06  3.624989e+07  -3.140821e+13  3.624989e+07  0.000000e+00
8.161896454e-06  3.544753e+07  -2.815271e+12  3.544753e+07  0.000000e+00
8.193168088e-06  3.607382e+07  3.076178e+13  3.607382e+07  0.000000e+00
8.224439722e-06  3.737147e+07  2.483887e+13  3.737147e+07  0.000000e+00
